timestamp,open,high,low,close,volume
2022-04-08,43.985,44.1,42.55,42.88,6454050
2022-04-11,42.86,43.4,41.25,41.9,8986590
2022-04-12,42.0,42.36,40.6,42.325,6411590
2022-04-13,42.5,42.8,41.535,41.86,3706720
2022-04-14,41.995,42.0,39.595,39.905,7449810
2022-04-15,40.0,40.43,38.31,39.8,6530240
2022-04-18,40.0,40.7,39.0,39.58,4428460
2022-04-19,39.58,40.0,38.3,39.8,12070170
2022-04-20,40.0,41.32,39.215,40.5,11457880
2022-04-21,41.0,41.9,40.5,41.705,10663470
2022-04-22,41.83,42.34,41.5,42.0,10823750
2022-04-25,42.0,42.03,40.515,41.5,5609750
2022-04-26,41.505,42.7,41.305,42.475,7067420
2022-04-27,42.5,43.615,42.0,43.53,6837710
2022-04-28,43.8,44.2,43.0,43.65,10600720
2022-04-29,43.765,44.93,43.01,44.93,8280300
2022-05-04,44.84,44.84,43.005,44.005,4427320
2022-05-05,44.215,44.75,43.875,44.585,3392060
2022-05-06,44.555,44.7,43.825,43.905,4028660
2022-05-11,43.98,44.7,43.64,44.4,3570760
2022-05-12,44.435,44.48,42.3,42.7,3699830
2022-05-13,43.0,43.19,42.015,42.69,2507840
2022-05-16,42.56,43.6,42.17,43.535,3758360
2022-05-17,43.675,44.79,43.555,44.7,4746660
2022-05-18,44.81,45.87,44.805,45.75,8345890
2022-05-19,45.75,45.75,44.88,45.005,4097460
2022-05-20,45.12,45.55,43.06,43.345,8960010
2022-05-23,43.8,43.8,40.465,40.875,12751690
2022-05-24,41.0,41.105,37.7,38.37,24411880
2022-05-25,38.7,39.46,38.05,39.2,8006170
2022-05-26,39.0,39.7,38.56,38.915,10459810
2022-05-27,39.035,39.21,38.32,38.745,5808640
2022-05-30,38.5,38.91,36.9,36.95,13987760
2022-05-31,36.95,37.0,35.585,35.71,11359950
2022-06-01,35.71,36.5,35.2,35.55,10917570
2022-06-02,35.73,35.965,34.315,34.89,12225520
2022-06-03,34.865,34.865,31.47,33.02,41629220
2022-06-06,33.22,33.5,31.255,31.475,20237240
2022-06-07,31.475,31.815,29.645,31.38,24319560
2022-06-08,31.92,32.435,31.5,32.025,11425740
2022-06-09,32.095,32.27,30.7,30.895,9712020
2022-06-10,30.885,31.2,30.405,30.785,6700970
2022-06-14,30.8,30.985,30.2,30.82,5919270
2022-06-15,30.8,32.4,30.615,32.07,11471600
2022-06-16,32.11,33.625,32.11,33.2,17684090
2022-06-17,33.3,33.6,32.71,33.275,10532860
2022-06-20,33.345,34.96,33.1,34.3,16104970
2022-06-21,34.4,34.7,33.55,34.49,15745370
2022-06-22,34.25,34.355,33.24,33.89,11715690
2022-06-23,33.75,35.14,33.435,34.855,12894280
2022-06-24,34.86,35.32,33.51,33.845,18808190
2022-06-27,33.71,33.75,33.035,33.5,13113710
2022-06-28,33.5,33.75,32.445,33.01,11619420
2022-06-29,33.01,33.54,31.66,33.405,14313330
2022-06-30,33.495,33.735,31.725,32.095,18178580
2022-07-01,32.0,32.77,31.32,32.38,10434790
2022-07-04,32.385,32.8,31.3,31.31,9605550
2022-07-05,31.3,31.52,30.83,31.095,14096960
2022-07-06,31.1,32.695,30.93,32.16,22974090
2022-07-07,32.2,32.87,31.3,32.25,17108380
2022-07-08,32.23,32.28,31.4,31.5,10056960
2022-07-11,31.65,31.825,30.66,30.755,11840890
2022-07-12,30.755,30.78,29.5,29.99,15341750
2022-07-13,29.9,29.97,28.235,28.55,24266860
2022-07-14,28.45,29.18,27.8,27.97,18927080
2022-07-15,27.9,28.0,26.8,27.495,32989220
2022-07-18,27.8,27.895,27.03,27.11,13959840
2022-07-19,27.11,27.12,26.21,26.56,25377110
2022-07-20,26.545,26.97,25.9,26.175,18727150
2022-07-21,26.155,26.175,25.5,25.725,18604200
2022-07-22,25.695,26.585,25.545,26.53,14141700
2022-07-25,26.44,26.905,26.26,26.84,10717690
2022-07-26,26.95,27.46,26.91,27.46,11896500
2022-07-27,27.535,28.0,27.17,27.54,15654240
2022-07-28,27.585,27.665,26.515,26.61,19071740
2022-07-29,26.65,26.715,26.025,26.47,20380300
2022-08-01,26.945,28.1,26.48,27.8,73364610
2022-08-02,27.8,28.185,26.53,26.59,37100950
2022-08-03,23.935,24.9,22.75,24.12,154782470
2022-08-04,24.3,24.3,23.52,23.92,36663370
2022-08-05,24.005,24.235,23.13,23.46,30657330
2022-08-08,24.17,24.19,23.46,23.81,20108150
2022-08-09,23.775,24.38,23.42,24.27,20906170
2022-08-10,24.27,24.95,23.9,24.55,29712800
2022-08-11,24.75,25.85,24.355,25.28,40020780
2022-08-12,25.28,26.14,25.0,26.07,25235350
2022-08-15,25.855,27.14,25.705,27.015,29906270
2022-08-16,27.2,27.62,26.66,27.1,29438800
2022-08-17,27.1,27.295,26.365,26.725,18882410
2022-08-18,26.68,26.695,26.13,26.41,14107550
2022-08-19,26.325,27.0,26.01,27.0,13666300
2022-08-22,26.805,27.25,26.575,26.9,11866650
2022-08-23,26.935,27.47,26.84,27.105,11254270
2022-08-24,27.105,27.3,26.95,26.965,5388210
2022-08-25,26.95,27.165,26.635,26.82,10934690
2022-08-26,26.79,27.285,26.7,27.28,7495020
2022-08-29,27.3,28.18,27.3,28.16,18307490
2022-08-30,28.3,29.07,28.21,28.265,26465460
2022-08-31,28.535,29.85,28.25,29.22,18460880
2022-09-01,29.25,29.6,28.8,29.405,12479110
2022-09-02,29.405,30.1,29.085,30.0,13186500
2022-09-05,30.085,30.42,29.7,30.4,12468200
2022-09-06,30.4,30.5,28.525,29.17,27463770
2022-09-07,29.0,29.37,28.67,28.745,12349620
2022-09-08,28.75,28.85,28.1,28.66,12625320
2022-09-09,28.66,29.13,28.6,28.985,9086110
2022-09-12,28.8,29.9,28.785,29.73,14694130
2022-09-13,29.73,29.9,29.31,29.445,10413350
2022-09-14,29.34,29.4,28.41,29.27,11094060
2022-09-15,29.27,29.815,29.09,29.785,11823690
2022-09-16,29.85,30.275,29.5,30.23,16825150
2022-09-19,30.185,30.76,29.65,29.965,15645920
2022-09-20,30.005,30.005,27.36,28.22,48760560
2022-09-21,26.36,27.595,26.005,27.18,22118270
2022-09-22,27.17,28.355,27.15,28.23,16462280
2022-09-23,28.2,28.23,24.65,25.5,56418400
2022-09-26,24.99,25.235,22.0,23.16,51152440
2022-09-27,23.445,24.4,21.66,23.41,43484850
2022-09-28,23.4,23.75,22.66,23.185,28227020
2022-09-29,23.185,23.39,22.0,22.615,24731730
2022-09-30,22.8,24.895,22.18,24.24,48254900
2022-10-03,24.48,26.195,23.76,26.0,33124110
2022-10-04,26.3,26.3,24.96,25.29,22205410
2022-10-05,25.175,25.445,23.82,25.22,25533860
2022-10-06,25.51,25.975,24.6,24.93,12773180
2022-10-07,24.93,24.93,23.9,24.02,14628100
2022-10-10,23.64,25.58,23.37,25.35,28615400
2022-10-11,25.35,26.52,25.17,26.28,21017600
2022-10-12,26.31,27.28,25.685,26.42,22287650
2022-10-13,26.42,26.8,25.9,26.135,15471580
2022-10-14,26.1,26.485,25.59,26.155,15732130
2022-10-17,26.26,28.16,26.24,28.135,35036430
2022-10-18,28.2,28.65,27.34,27.575,32087710
2022-10-19,27.42,27.87,26.22,26.67,48451150
2022-10-20,26.83,28.24,26.505,28.04,45556910
2022-10-21,28.0,29.125,27.645,28.805,47637790
2022-10-24,28.805,29.8,28.325,29.53,48452140
2022-10-25,29.63,30.09,29.5,29.85,25980300
2022-10-26,29.895,30.915,29.37,30.545,32407510
2022-10-27,30.6,32.655,30.315,32.35,54807140
2022-10-28,32.35,32.64,31.625,32.03,28393570
2022-10-31,32.04,32.21,30.8,31.17,25364060
2022-11-01,31.255,31.6,30.585,31.085,20773330
2022-11-02,31.1,31.18,30.025,30.46,9672500
2022-11-03,30.4,31.505,29.865,31.5,33879770
2022-11-07,32.14,33.23,31.645,32.935,41813090
2022-11-08,32.995,33.41,32.035,32.285,25749610
2022-11-09,32.0,32.0,30.51,30.785,33190290
2022-11-10,30.8,31.5,30.4,31.22,28206030
2022-11-11,31.315,31.475,30.6,30.98,19136040
2022-11-14,31.035,31.65,30.5,30.99,23763420
2022-11-15,31.07,31.3,29.0,29.895,29809520
2022-11-16,30.07,30.69,29.905,30.505,19310080
2022-11-17,30.51,30.63,29.86,30.16,9703030
2022-11-18,30.055,30.195,29.8,30.15,8667380
2022-11-21,30.19,30.19,29.585,30.04,14952250
2022-11-22,29.985,31.395,29.79,31.24,40810140
2022-11-23,31.26,31.7,30.83,31.035,28430200
2022-11-24,31.0,31.23,30.775,30.92,7786640
2022-11-25,30.9,31.07,30.46,30.81,12529080
2022-11-28,30.69,31.105,30.45,30.84,13842940
2022-11-29,31.05,31.62,30.875,31.6,19044830
2022-11-30,31.655,31.985,31.18,31.565,20669650
2022-12-01,31.645,31.77,31.405,31.515,8491700
2022-12-02,31.545,31.62,31.05,31.24,10520290
2022-12-05,31.31,31.655,31.03,31.23,11461010
2022-12-06,31.285,31.415,31.085,31.205,6849000
2022-12-07,31.175,31.295,30.745,31.25,11500120
2022-12-08,31.25,31.865,31.1,31.64,21771630
2022-12-09,31.75,31.96,31.345,31.55,14727340
2022-12-12,31.715,32.095,31.5,31.875,13564460
2022-12-13,31.875,32.325,31.475,32.2,27493940
2022-12-14,32.21,32.27,31.775,31.945,8969940
2022-12-15,31.76,31.845,31.05,31.345,19809080
2022-12-16,31.3,31.715,31.285,31.64,10694170
2022-12-19,31.6,33.15,31.515,32.93,25956920
2022-12-20,32.95,34.2,32.3,32.46,58099910
2022-12-21,32.53,32.79,31.25,31.85,30599150
2022-12-22,31.7,32.425,31.525,31.89,12724740
2022-12-23,31.91,32.16,31.64,31.87,5588820
2022-12-26,31.855,32.13,31.8,32.075,6849220
2022-12-27,32.26,32.395,32.09,32.14,6206560
2022-12-28,32.03,32.4,31.82,32.14,8620520
2022-12-29,32.13,32.35,32.1,32.21,3231360
2022-12-30,32.25,32.965,32.12,32.865,11047160
2023-01-03,32.9,33.485,32.72,33.395,7371200
2023-01-04,33.31,33.63,33.03,33.275,5691000
2023-01-05,33.15,33.275,32.905,33.125,4943960
2023-01-06,33.1,33.44,33.01,33.36,3464170
2023-01-09,33.55,33.555,33.11,33.26,7415790
2023-01-10,33.165,33.415,32.88,33.29,9150940
2023-01-11,33.3,33.74,33.18,33.61,8507940
2023-01-12,33.62,33.925,33.305,33.84,8212940
2023-01-13,33.8,34.4,33.565,34.075,8256340
2023-01-16,34.105,34.73,34.105,34.64,9230230
2023-01-17,34.67,34.86,34.025,34.18,10593320
2023-01-18,34.105,34.695,34.085,34.495,7560850
2023-01-19,34.495,34.56,33.87,33.99,8032420
2023-01-20,33.99,34.15,33.505,33.78,12115960
2023-01-23,33.73,34.125,33.625,34.05,6560860
2023-01-24,34.13,34.49,33.835,33.91,8794480
2023-01-25,33.87,34.045,33.605,33.985,6284330
2023-01-26,34.025,34.085,33.76,33.935,4387350
2023-01-27,33.9,34.39,33.9,34.325,6042190
2023-01-30,34.4,35.485,34.19,35.465,26986680
2023-01-31,35.54,35.985,35.28,35.945,17563950
2023-02-01,36.0,36.83,35.905,36.68,20398340
2023-02-02,36.79,38.25,36.53,37.95,34128940
2023-02-03,37.88,38.495,37.21,38.135,24112210
2023-02-06,38.35,38.795,38.13,38.405,19786470
2023-02-07,38.38,38.625,37.65,38.08,12490970
2023-02-08,38.1,38.4,37.545,37.77,12595880
2023-02-09,37.6,38.47,37.555,38.14,11611450
2023-02-10,38.0,38.56,37.96,38.465,13530480
2023-02-13,38.515,38.9,38.345,38.405,9375010
2023-02-14,38.36,38.45,37.115,37.385,18356050
2023-02-15,37.3,37.35,35.26,35.835,24518520
2023-02-16,35.835,36.73,35.815,36.345,13967440
2023-02-17,36.35,36.895,35.98,36.535,11180900
2023-02-20,36.33,37.25,35.81,36.83,14347840
2023-02-21,36.885,38.51,36.885,38.31,26616920
2023-02-22,38.31,38.9,38.0,38.8,18471480
2023-02-24,38.8,39.5,38.265,38.825,19277380
2023-02-27,38.65,39.37,38.305,39.095,14417570
2023-02-28,39.21,39.51,38.9,39.07,11011380
2023-03-01,39.16,39.495,39.0,39.47,9525620
2023-03-02,39.6,39.9,38.43,38.94,21407170
2023-03-03,38.89,39.68,38.735,39.68,9957040
2023-03-06,39.85,40.09,39.56,39.985,16739780
2023-03-07,40.075,40.87,39.6,40.665,19407820
2023-03-09,40.79,41.545,40.46,41.31,24121870
2023-03-10,41.17,42.27,41.015,42.11,22622010
2023-03-13,42.12,42.67,41.015,41.515,24477010
2023-03-14,41.5,41.5,40.75,41.28,13329860
2023-03-15,41.28,41.61,40.6,40.9,12436960
2023-03-16,40.87,40.87,39.66,40.25,29933090
2023-03-17,40.255,40.92,39.43,39.89,32370470
2023-03-20,39.89,40.28,39.5,40.155,25531040
2023-03-21,40.28,40.52,39.205,39.595,19529340
2023-03-22,39.495,39.745,39.22,39.35,13832880
2023-03-23,39.345,39.49,38.94,39.155,15017080
2023-03-24,39.295,39.295,38.77,38.905,13856610
2023-03-27,38.985,39.48,38.925,39.395,20951360
2023-03-28,39.45,39.75,38.91,39.15,17018470
2023-03-29,39.15,40.65,38.96,40.6,48704330
2023-03-30,40.6,41.0,40.02,40.245,27135320
2023-03-31,40.21,40.245,39.51,39.94,22341900
2023-04-03,40.25,40.395,39.85,40.2,14978960
2023-04-04,40.25,40.5,39.905,40.135,12096690
2023-04-05,40.145,40.945,39.71,40.79,19194060
2023-04-06,40.94,41.45,40.095,40.42,25867270
2023-04-07,40.42,40.8,39.9,40.365,19985720
2023-04-10,40.425,41.4,40.25,41.37,28943220
2023-04-11,41.49,41.82,40.25,40.73,29981870
2023-04-12,40.815,40.97,40.42,40.65,12924300
2023-04-13,40.82,41.15,40.37,40.7,14276690
2023-04-14,40.775,40.845,40.0,40.44,17067820
2023-04-17,40.52,40.795,40.35,40.76,13300190
2023-04-18,40.845,41.4,40.28,41.285,25259930
2023-04-19,41.405,42.02,41.005,41.635,51483330
2023-04-20,41.705,41.855,40.56,41.44,26080440
2023-04-21,41.555,41.8,41.0,41.175,21391680
2023-04-24,41.1,41.49,40.65,41.035,22994660
2023-04-25,41.0,41.145,40.7,40.865,8772860
2023-04-26,40.875,40.97,40.06,40.145,14371280
2023-04-27,40.2,40.2,39.56,39.98,17880110
2023-04-28,39.98,40.12,39.405,39.61,10637050
2023-05-02,39.56,39.88,38.095,38.555,20955370
2023-05-03,38.5,39.145,37.82,38.105,28076090
2023-05-04,38.32,38.52,37.455,38.21,16150740
2023-05-05,38.295,38.43,37.78,37.915,11958960
2023-05-08,37.985,38.415,37.845,38.235,7123160
2023-05-10,38.325,39.25,38.255,39.205,19026200
2023-05-11,39.295,39.59,38.1,38.645,22615750
2023-05-12,38.74,39.0,38.255,38.925,8884430
2023-05-15,38.915,39.85,38.86,39.835,13978320
2023-05-16,39.935,40.225,39.82,40.15,12269740
2023-05-17,40.18,40.4,39.255,39.63,18787040
2023-05-18,39.68,39.8,39.15,39.42,11862320
2023-05-19,39.18,39.455,39.0,39.265,8118650
2023-05-22,39.425,39.495,39.055,39.325,6752440
2023-05-23,39.185,39.395,38.6,39.12,12679080
2023-05-24,39.12,39.59,38.76,39.51,9559440
2023-05-25,39.555,40.18,38.91,39.89,26949410
2023-05-26,40.0,40.125,39.5,39.76,11851260
2023-05-29,39.95,41.155,39.9,40.82,42085290
2023-05-30,40.6,41.495,40.45,40.705,28372110
2023-05-31,40.555,40.95,40.45,40.67,13882010
2023-06-01,40.67,41.0,40.575,40.725,11705630
2023-06-02,40.76,41.435,40.525,41.365,14994660
2023-06-05,41.435,41.685,40.245,40.39,21084000
2023-06-06,40.375,41.3,39.98,41.15,18013570
2023-06-07,41.0,41.935,40.775,41.145,26521330
2023-06-08,41.145,41.5,40.65,41.165,12898780
2023-06-09,41.24,41.53,40.88,41.035,7502170
2023-06-13,41.035,42.9,41.005,42.895,24746590
2023-06-14,42.895,43.2,42.445,43.165,24180210
2023-06-15,43.3,44.4,42.88,43.885,36231190
2023-06-16,43.985,44.095,43.185,44.04,13843340
2023-06-19,44.1,46.4,42.42,46.25,71501760
2023-06-20,46.24,46.585,44.85,45.52,30695740
2023-06-21,45.54,46.925,45.07,46.58,31026470
2023-06-22,46.58,47.0,45.51,45.92,19063600
2023-06-23,45.8,46.615,44.475,44.745,28034890
2023-06-26,46.0,46.3,43.34,44.925,27645290
2023-06-27,45.03,47.57,44.63,47.17,63030710
2023-06-28,47.15,47.65,46.085,46.205,32275400
2023-06-29,46.3,46.755,45.83,46.64,16584750
2023-06-30,46.81,47.55,46.5,47.41,26595330
2023-07-03,47.61,48.63,47.305,47.57,36618600
2023-07-04,47.57,48.17,46.815,47.39,22071810
2023-07-05,47.56,48.12,47.41,47.635,15005420
2023-07-06,47.695,48.0,47.12,47.46,13727960
2023-07-07,47.31,47.62,46.775,47.555,11683940
2023-07-10,47.75,48.39,47.405,48.265,13264830
2023-07-11,48.25,48.51,47.9,48.265,9056190
2023-07-12,48.3,49.84,48.2,49.725,26075960
2023-07-13,49.8,50.485,49.11,49.44,21782720
2023-07-14,49.4,50.8,49.005,50.77,19147400
2023-07-17,50.5,51.5,49.8,51.39,26583260
2023-07-18,51.6,52.995,51.08,51.925,42121870
2023-07-19,51.9,52.18,50.655,51.27,26397750
2023-07-20,51.315,51.935,50.69,50.925,27982770
2023-07-21,50.925,51.8,50.6,51.755,17370820
2023-07-24,51.9,52.38,51.64,52.28,14834090
2023-07-25,52.435,52.73,52.14,52.595,16808110
2023-07-26,52.65,52.87,51.84,52.29,15967940
2023-07-27,52.45,53.455,52.12,53.21,28763840
2023-07-28,53.37,53.5,52.805,53.04,15103260
2023-07-31,53.255,53.73,52.92,53.5,25314150
2023-08-01,53.63,53.65,53.05,53.39,17475880
2023-08-02,53.39,53.445,52.855,53.205,19630550
2023-08-03,53.205,54.945,52.99,54.76,40960100
2023-08-04,54.925,55.2,52.0,53.415,48161990
2023-08-07,53.705,54.655,52.42,53.31,21444820
2023-08-08,53.255,53.34,51.7,52.555,29176520
2023-08-09,52.8,53.285,52.23,52.56,19008220
2023-08-10,52.82,52.99,52.05,52.93,22601670
2023-08-11,53.0,53.8,52.0,53.015,25593420
2023-08-14,53.3,53.76,51.0,51.49,40098400
2023-08-15,51.34,52.73,51.0,51.56,17367060
2023-08-16,51.6,51.935,48.805,50.085,36865260
2023-08-17,50.43,51.34,49.8,51.22,27799150
2023-08-18,51.33,51.88,50.45,51.68,18522450
2023-08-21,51.945,52.26,51.41,52.145,20245020
2023-08-22,52.1,53.63,51.615,53.335,62800180
2023-08-23,53.47,53.98,51.86,52.065,37176650
2023-08-24,52.12,53.495,52.12,53.42,17194270
2023-08-25,53.42,54.1,53.005,53.85,19572740
2023-08-28,54.07,55.035,53.85,54.915,30576810
2023-08-29,55.09,55.15,53.505,53.895,43347880
2023-08-30,53.89,54.89,53.215,54.5,33238340
2023-08-31,54.535,55.9,54.4,55.765,33278430
2023-09-01,55.9,55.9,54.8,55.3,15067810
2023-09-04,55.5,55.9,55.22,55.415,17080130
2023-09-05,55.595,55.595,54.05,54.485,27006960
2023-09-06,54.5,54.56,52.56,53.04,36551810
2023-09-07,53.1,53.59,52.3,52.88,26508510
2023-09-08,52.88,53.215,51.7,52.04,18196140
2023-09-11,51.955,52.3,50.9,51.67,18802270
2023-09-12,51.755,52.765,51.7,52.685,18503830
2023-09-13,52.855,52.855,51.85,52.0,10929260
2023-09-14,52.0,52.05,50.675,51.755,17315680
2023-09-15,51.755,52.61,51.31,52.165,12332050
2023-09-18,52.54,52.54,51.1,51.215,16133910
2023-09-19,51.215,51.215,50.065,50.58,22780770
2023-09-20,50.615,51.17,50.005,50.405,18201080
2023-09-21,50.085,50.55,49.3,49.47,22489070
2023-09-22,49.48,51.18,49.12,51.135,19568830
2023-09-25,51.17,51.585,50.33,50.645,8917720
2023-09-26,50.6,52.07,50.26,51.84,25202530
2023-09-27,52.025,52.2,51.605,52.095,11804230
2023-09-28,52.1,52.355,51.35,52.215,13531440
2023-09-29,52.26,52.525,51.885,52.46,12506340
2023-10-02,52.65,53.195,52.46,52.82,16743040
2023-10-03,52.955,52.955,51.41,51.6,17018400
2023-10-04,51.5,52.775,51.16,52.125,16333350
2023-10-05,52.25,52.335,51.67,51.995,7934040
2023-10-06,51.995,53.295,51.67,52.84,14653200
2023-10-09,52.96,53.26,52.07,52.35,13930820
2023-10-10,52.435,52.7,52.09,52.695,9084840
2023-10-11,52.74,52.955,51.285,51.42,18307250
2023-10-12,51.25,52.6,51.01,52.325,17383180
2023-10-13,52.345,52.7,52.255,52.695,8562700
2023-10-16,52.75,53.945,52.51,53.9,19761760
2023-10-17,53.9,53.95,53.31,53.515,12639080
2023-10-18,53.62,53.74,52.55,53.395,17847270
2023-10-19,53.4,53.74,53.005,53.27,12916430
2023-10-20,53.4,53.4,52.25,52.93,15688200
2023-10-23,52.94,53.295,52.69,52.93,10755340
2023-10-24,52.93,53.135,52.6,52.79,8452220
2023-10-25,52.81,53.49,52.64,53.385,11617210
2023-10-26,53.395,53.65,52.38,52.455,13695400
2023-10-27,52.455,53.275,52.36,53.15,13150170
2023-10-30,53.015,53.735,52.705,52.93,15419700
2023-10-31,53.0,53.135,51.67,51.86,12064360
2023-11-01,51.71,52.895,51.665,52.53,13589610
2023-11-02,52.55,52.845,52.08,52.34,10571300
2023-11-03,52.34,52.9,51.9,52.46,7445790
2023-11-06,52.465,52.845,52.085,52.32,9820480
2023-11-07,52.2,52.54,52.085,52.48,12118870
2023-11-08,52.46,52.63,52.04,52.17,10365420
2023-11-09,52.3,52.325,51.55,51.86,14845630
2023-11-10,51.84,52.295,51.55,51.97,13693590
2023-11-13,51.85,52.595,51.805,52.22,9657700
2023-11-14,52.22,52.245,51.46,51.775,8004340
2023-11-15,51.73,52.0,51.6,51.735,5506010
2023-11-16,51.66,51.96,51.28,51.4,8681800
2023-11-17,51.3,51.77,50.845,51.565,10444240
2023-11-20,51.58,51.745,51.275,51.44,5807880
2023-11-21,51.44,51.605,51.12,51.515,5762860
2023-11-22,51.51,52.525,51.51,52.43,26482380
2023-11-23,52.485,52.75,51.91,52.21,17438470
2023-11-24,52.2,52.5,51.295,51.635,15362760
2023-11-27,51.82,51.955,51.405,51.595,9942610
2023-11-28,51.55,51.795,50.4,51.14,12690710
2023-11-29,51.18,51.495,50.7,51.44,10078950
2023-11-30,51.43,51.565,50.155,50.71,12840330
2023-12-01,50.7,50.955,50.4,50.53,8198220
2023-12-04,50.53,50.945,49.795,50.15,10500870
2023-12-05,50.13,51.195,49.875,51.0,8311460
2023-12-06,51.095,51.375,49.805,49.9,8374150
2023-12-07,49.9,49.98,48.855,49.005,12965640
2023-12-08,49.05,50.095,49.01,50.01,8480900
2023-12-11,49.91,50.095,49.02,49.095,8600270
2023-12-12,49.0,50.0,48.5,49.655,12497060
2023-12-13,49.5,50.68,49.28,50.025,11957160
2023-12-14,50.025,50.07,48.74,48.795,9627440
2023-12-15,48.885,50.0,48.71,49.655,11511940
2023-12-18,49.67,51.13,49.665,50.845,16004000
2023-12-19,50.845,51.68,50.515,51.31,20001420
2023-12-20,51.31,52.36,51.31,51.645,26347050
2023-12-21,51.645,52.42,51.52,51.925,16906590
2023-12-22,51.94,52.69,51.94,52.645,15230250
2023-12-25,52.735,53.085,52.16,52.34,12609230
2023-12-26,52.34,52.7,52.12,52.605,6470640
2023-12-27,52.61,53.12,51.7,51.93,12182580
2023-12-28,51.93,52.445,51.93,52.255,8496540
2023-12-29,52.255,52.5,51.93,52.165,6704060
2024-01-03,52.145,52.99,52.07,52.76,4883470
2024-01-04,52.845,53.3,52.65,53.095,6734690
2024-01-05,53.09,53.375,52.91,53.0,4848160
2024-01-08,53.095,53.905,53.0,53.89,10093910
2024-01-09,54.0,54.285,53.03,53.23,14685200
2024-01-10,53.365,53.365,52.8,52.955,7599190
2024-01-11,52.94,57.25,52.42,56.08,122889020
2024-01-12,56.185,58.1,55.695,57.18,46078170
2024-01-15,57.2,57.75,55.82,57.64,30219760
2024-01-16,57.72,58.425,57.055,57.92,21757550
2024-01-17,57.9,58.235,57.105,57.31,18052970
2024-01-18,57.33,58.18,56.585,56.65,20309740
2024-01-19,56.65,57.35,56.265,57.245,13496230
2024-01-22,57.625,59.05,57.35,58.525,30755180
2024-01-23,58.6,58.9,57.51,57.78,16165310
2024-01-24,57.78,58.0,57.1,57.585,13084220
2024-01-25,57.585,57.675,56.82,57.165,9652540
2024-01-26,57.165,57.29,56.815,57.1,6939550
2024-01-29,57.2,57.81,56.98,57.375,12231760
2024-01-30,57.46,58.61,57.16,58.335,21360200
2024-01-31,58.5,58.72,58.005,58.345,11723000
2024-02-01,58.3,59.66,58.24,59.25,20336090
2024-02-02,59.35,60.6,58.4,59.2,67230600
2024-02-05,59.305,59.54,57.86,58.75,30061960
2024-02-06,58.8,59.135,57.575,57.84,32348500
2024-02-07,57.8,57.83,56.7,57.19,34389980
2024-02-08,57.2,57.285,55.675,55.695,42045870
2024-02-09,55.695,56.3,55.555,56.145,26244350
2024-02-12,56.2,56.555,55.03,55.33,33953790
2024-02-13,55.365,55.835,55.055,55.635,20773010
2024-02-14,55.69,55.845,55.005,55.1,17250080
2024-02-15,55.045,55.33,54.225,54.83,42791960
2024-02-16,54.93,55.095,53.72,53.785,39841700
2024-02-19,53.75,54.39,53.555,53.605,28595300
2024-02-20,53.595,53.7,52.8,53.005,30827450
2024-02-21,53.0,53.17,52.15,52.63,24101920
2024-02-22,52.245,53.815,52.245,53.43,22602930
2024-02-26,54.35,54.4,53.415,53.9,29119930
2024-02-27,54.0,54.195,53.575,53.935,17197400
2024-02-28,53.94,54.02,53.275,53.435,11771410
2024-02-29,53.44,55.0,53.14,54.855,30343250
2024-03-01,54.86,55.18,54.405,54.82,26195110
2024-03-04,54.93,55.52,54.855,55.24,22304010
2024-03-05,55.28,55.5,54.77,55.21,13546280
2024-03-06,55.21,55.68,54.985,55.05,11806460
2024-03-07,55.095,55.385,54.52,54.895,11561170
2024-03-11,55.0,55.35,54.595,54.935,12935060
2024-03-12,54.945,55.14,54.14,55.0,24194880
2024-03-13,55.03,55.88,55.03,55.155,20806790
2024-03-14,55.14,56.09,54.3,54.94,53022240
2024-03-15,55.0,55.7,54.815,55.405,16906600
2024-03-18,55.5,55.73,55.0,55.37,17990970
2024-03-19,55.36,55.47,54.155,54.915,22940270
2024-03-20,54.92,55.18,54.385,54.71,18377200
2024-03-21,54.8,55.7,54.5,55.63,19275620
2024-03-22,55.52,56.29,54.3,54.65,35318650
2024-03-25,54.8,55.8,54.7,55.785,23353200
2024-03-26,55.9,56.73,55.9,56.48,30733870
2024-03-27,56.755,56.835,55.7,56.59,29667730
2024-03-28,56.605,56.82,56.1,56.28,14739960
2024-03-29,56.36,56.67,55.52,56.27,17686430
2024-04-01,56.48,57.245,56.065,56.4,25423670
2024-04-02,56.405,56.95,56.04,56.585,17216000
2024-04-03,56.7,57.28,56.55,57.06,18858120
2024-04-04,57.16,58.42,56.67,57.745,59554720
2024-04-05,57.61,57.735,56.75,57.0,34179730
2024-04-08,57.05,57.55,56.85,57.255,23963810
2024-04-09,57.325,57.495,56.205,56.41,26356450
2024-04-10,56.5,58.4,56.0,58.32,39555850
2024-04-11,58.4,58.5,57.6,58.08,33139480
2024-04-12,58.1,58.45,57.655,58.04,23769030
2024-04-15,58.0,58.33,57.76,58.165,17422540
2024-04-16,58.28,58.5,57.71,57.8,16635330
2024-04-17,57.8,57.85,56.955,57.28,26143090
2024-04-18,57.39,57.495,56.68,56.73,18796250
2024-04-19,56.725,57.125,56.445,56.495,17420830
2024-04-22,56.58,57.2,56.3,56.91,19828440
2024-04-23,56.92,57.07,55.0,55.82,28127260
